,Topics,Alpha,Beta,Coherence,Topic Diversity
102,4,0.61,0.61,0.41433941905973487,0.95
101,4,0.61,0.31,0.4079944302551002,0.95
100,4,0.61,0.01,0.4015644062837107,0.95
99,4,0.31,symmetric,0.40933070138962746,0.95
119,4,asymmetric,symmetric,0.4056674779077374,0.95
270,10,0.01,0.01,0.41470925895416916,0.95
161,6,0.61,0.31,0.4057885989592176,0.95
96,4,0.31,0.31,0.4107012044468998,0.95
55,2,asymmetric,0.01,0.28128382355398107,0.95
56,2,asymmetric,0.31,0.2976207181961963,0.95
57,2,asymmetric,0.61,0.29989251860960786,0.95
58,2,asymmetric,0.9099999999999999,0.2997768776533958,0.95
156,6,0.31,0.31,0.3943852822469515,0.95
59,2,asymmetric,symmetric,0.29989251860960786,0.95
90,4,0.01,0.01,0.41405952596007656,0.95
92,4,0.01,0.61,0.4083052961543269,0.95
151,6,0.01,0.31,0.37765591667656095,0.95
93,4,0.01,0.9099999999999999,0.40603961336224825,0.95
94,4,0.01,symmetric,0.4017407155551942,0.95
33,2,0.01,0.9099999999999999,0.30965046024166976,0.95
416,14,asymmetric,0.31,0.456652193377744,0.95
32,2,0.01,0.61,0.3196782573504169,0.95
95,4,0.31,0.01,0.4015779444780171,0.95
538,18,asymmetric,0.9099999999999999,0.4835144885870122,0.95
295,10,asymmetric,0.01,0.4119766160848508,0.95
30,2,0.01,0.01,0.3210996983522022,0.95
437,15,0.9099999999999999,0.61,0.43696956171930224,0.9466666666666667
378,13,0.9099999999999999,0.9099999999999999,0.4325139136496125,0.9461538461538461
388,13,asymmetric,0.9099999999999999,0.41397064642167536,0.9461538461538461
367,13,0.31,0.61,0.45680278816006253,0.9461538461538461
365,13,0.31,0.01,0.4611327255865933,0.9461538461538461
361,13,0.01,0.31,0.44009115253546116,0.9461538461538461
373,13,0.61,0.9099999999999999,0.42717981296980206,0.9461538461538461
309,11,0.31,symmetric,0.41003907103347553,0.9454545454545454
315,11,0.9099999999999999,0.01,0.4165448661016988,0.9454545454545454
305,11,0.31,0.01,0.42755708816517257,0.9454545454545454
575,20,0.31,0.01,0.4374257558861553,0.945
265,9,asymmetric,0.01,0.3864369717832457,0.9444444444444444
255,9,0.9099999999999999,0.01,0.4233952350634085,0.9444444444444444
254,9,0.61,symmetric,0.4383428001685936,0.9444444444444444
523,18,0.61,0.9099999999999999,0.44266039567302623,0.9444444444444444
247,9,0.31,0.61,0.4253773256428722,0.9444444444444444
261,9,symmetric,0.31,0.42259289335988226,0.9444444444444444
517,18,0.31,0.61,0.43701450172228806,0.9444444444444444
241,9,0.01,0.31,0.4149650428426338,0.9444444444444444
450,16,0.01,0.01,0.4301925446795199,0.94375
407,14,0.9099999999999999,0.61,0.44776652010921925,0.9428571428571428
182,7,0.01,0.61,0.4097363157417408,0.9428571428571428
183,7,0.01,0.9099999999999999,0.39202870018215286,0.9428571428571428
208,7,asymmetric,0.9099999999999999,0.3922042297550293,0.9428571428571428
181,7,0.01,0.31,0.4134138791409319,0.9428571428571428
193,7,0.61,0.9099999999999999,0.39766379661527873,0.9428571428571428
192,7,0.61,0.61,0.40787306194320166,0.9428571428571428
209,7,asymmetric,symmetric,0.4084026934467837,0.9428571428571428
406,14,0.9099999999999999,0.31,0.44661742542475874,0.9428571428571428
198,7,0.9099999999999999,0.9099999999999999,0.3999226585385308,0.9428571428571428
203,7,symmetric,0.9099999999999999,0.3989268228201705,0.9428571428571428
207,7,asymmetric,0.61,0.3986347998411703,0.9428571428571428
202,7,symmetric,0.61,0.3987466887450656,0.9428571428571428
201,7,symmetric,0.31,0.4206859674955704,0.9428571428571428
206,7,asymmetric,0.31,0.40382317822327624,0.9428571428571428
339,12,0.31,symmetric,0.4258167807968977,0.9416666666666667
359,12,asymmetric,symmetric,0.44659972210383897,0.9416666666666667
345,12,0.9099999999999999,0.01,0.46330014437537087,0.9416666666666667
340,12,0.61,0.01,0.46700326805880116,0.9416666666666667
128,5,0.31,0.9099999999999999,0.3796695677159365,0.94
132,5,0.61,0.61,0.389750955010663,0.94
289,10,0.9099999999999999,symmetric,0.4348237556980775,0.94
130,5,0.61,0.01,0.39101593550939884,0.94
280,10,0.61,0.01,0.4222137651173676,0.94
288,10,0.9099999999999999,0.9099999999999999,0.40585727278668154,0.94
285,10,0.9099999999999999,0.01,0.4474913791548116,0.94
123,5,0.01,0.9099999999999999,0.3977173430578197,0.94
121,5,0.01,0.31,0.3796183111765519,0.94
124,5,0.01,symmetric,0.38610322446917617,0.94
433,15,0.61,0.9099999999999999,0.4348940505136512,0.94
438,15,0.9099999999999999,0.9099999999999999,0.4099897234488926,0.94
122,5,0.01,0.61,0.38632993320572817,0.94
127,5,0.31,0.61,0.3756420532176336,0.94
141,5,symmetric,0.31,0.3806554209429654,0.94
134,5,0.61,symmetric,0.397210343197682,0.94
142,5,symmetric,0.61,0.3807978237702496,0.94
148,5,asymmetric,0.9099999999999999,0.40361611568092065,0.94
143,5,symmetric,0.9099999999999999,0.37821350764482214,0.94
144,5,symmetric,symmetric,0.38496644568746047,0.94
139,5,0.9099999999999999,symmetric,0.39302636462335494,0.94
537,18,asymmetric,0.61,0.44498208004458356,0.9388888888888889
532,18,symmetric,0.61,0.4496924380914142,0.9388888888888889
379,13,0.9099999999999999,symmetric,0.4578953615259612,0.9384615384615385
381,13,symmetric,0.31,0.43805383359833816,0.9384615384615385
375,13,0.9099999999999999,0.01,0.4531168871604435,0.9384615384615385
382,13,symmetric,0.61,0.4390738319459508,0.9384615384615385
383,13,symmetric,0.9099999999999999,0.44463088763173786,0.9384615384615385
371,13,0.61,0.31,0.4299810415329034,0.9384615384615385
376,13,0.9099999999999999,0.31,0.46862278348432673,0.9384615384615385
363,13,0.01,0.9099999999999999,0.45350771868003115,0.9384615384615385
364,13,0.01,symmetric,0.4468713271401983,0.9384615384615385
236,8,asymmetric,0.31,0.4316927619872982,0.9375
227,8,0.9099999999999999,0.61,0.4517669568530931,0.9375
470,16,symmetric,0.01,0.43011303405691287,0.9375
219,8,0.31,symmetric,0.41318277318069563,0.9375
228,8,0.9099999999999999,0.9099999999999999,0.4517308413081134,0.9375
468,16,0.9099999999999999,0.9099999999999999,0.4175455713008417,0.9375
