Topics,Alpha,Beta,Coherence,Topic Diversity,Topic Quality
5,symmetric,symmetric,0.3729499471841539,0.94,0.35057295035310465
8,0.9099999999999999,0.61,0.3735707891370684,0.9375,0.35022261481600164
5,0.9099999999999999,0.01,0.3720204357212907,0.94,0.3496992095780132
9,asymmetric,0.01,0.365387848302773,0.9555555555555556,0.34914838837820533
3,asymmetric,0.9099999999999999,0.3491401394679036,1.0,0.3491401394679036
18,asymmetric,0.01,0.3715414683657119,0.9388888888888889,0.3488361564100295
6,0.61,0.31,0.38050232197560924,0.9166666666666666,0.34879379514430847
6,0.01,0.01,0.35466243122006236,0.9833333333333333,0.348751390699728
9,asymmetric,symmetric,0.36847672085371314,0.9444444444444444,0.3480057919173957
4,0.61,0.9099999999999999,0.3761556334542352,0.925,0.34794396094516755
5,0.61,0.9099999999999999,0.3690780080528244,0.94,0.34693332756965495
18,asymmetric,symmetric,0.37321578242419723,0.9277777777777778,0.34626130924911636
5,0.01,0.31,0.3681506083629193,0.94,0.3460615718611441
5,0.01,symmetric,0.36795806989456337,0.94,0.34588058570088953
2,0.9099999999999999,symmetric,0.34584572290637816,1.0,0.34584572290637816
2,symmetric,0.61,0.34584572290637816,1.0,0.34584572290637816
2,symmetric,0.9099999999999999,0.34584572290637816,1.0,0.34584572290637816
2,0.9099999999999999,0.9099999999999999,0.34584572290637816,1.0,0.34584572290637816
2,0.9099999999999999,0.61,0.34584572290637816,1.0,0.34584572290637816
2,symmetric,symmetric,0.34584572290637816,1.0,0.34584572290637816
2,0.31,symmetric,0.34584572290637816,1.0,0.34584572290637816
2,0.61,symmetric,0.34584572290637816,1.0,0.34584572290637816
2,0.61,0.9099999999999999,0.34584572290637816,1.0,0.34584572290637816
2,0.61,0.61,0.34584572290637816,1.0,0.34584572290637816
2,0.31,0.9099999999999999,0.34584572290637816,1.0,0.34584572290637816
2,0.31,0.61,0.34584572290637816,1.0,0.34584572290637816
5,0.61,0.61,0.3677241629537446,0.94,0.3456607131765199
4,0.01,0.9099999999999999,0.37360976541041657,0.925,0.34558903300463534
5,0.31,0.31,0.3675117988401414,0.94,0.34546109090973287
9,0.61,0.31,0.3698136226633334,0.9333333333333333,0.3451593811524445
4,0.01,0.61,0.37307778796601987,0.925,0.34509695386856837
9,symmetric,0.01,0.3652397186170604,0.9444444444444444,0.3449486231383348
8,0.61,0.9099999999999999,0.367781121137971,0.9375,0.34479480106684784
4,symmetric,0.61,0.3721667436757722,0.925,0.3442542379000893
10,0.61,0.31,0.35464440980890943,0.97,0.34400507751464215
9,0.61,symmetric,0.3684855972563576,0.9333333333333333,0.34391989077260043
5,0.61,symmetric,0.36513872046074536,0.94,0.3432303972331006
9,0.9099999999999999,0.9099999999999999,0.3720492592796514,0.9222222222222223,0.3431120946690118
9,0.01,0.31,0.36756135120448047,0.9333333333333333,0.3430572611241818
9,0.01,0.01,0.36315082268484383,0.9444444444444444,0.34297577698013026
4,0.31,0.9099999999999999,0.3705224841711493,0.925,0.34273329785831314
4,0.31,0.61,0.37052248417114925,0.925,0.3427332978583131
10,symmetric,0.01,0.352968543750033,0.97,0.342379487437532
8,0.01,0.61,0.375168491248366,0.9125,0.342341248264134
9,symmetric,symmetric,0.36232208798539006,0.9444444444444444,0.34219308309731283
5,0.61,0.31,0.36388978127012483,0.94,0.34205639439391733
9,0.01,symmetric,0.3620599976940114,0.9444444444444444,0.34194555337767746
2,asymmetric,0.01,0.3419003409754275,1.0,0.3419003409754275
2,0.9099999999999999,0.01,0.3419003409754275,1.0,0.3419003409754275
9,0.9099999999999999,0.61,0.37052470739713383,0.9222222222222223,0.3417061190440234
10,0.9099999999999999,0.31,0.3520410771073821,0.97,0.3414798447941606
9,symmetric,0.31,0.36577451014411516,0.9333333333333333,0.3413895428011742
