Topics,Alpha,Beta,Coherence,Topic Diversity,Topic Quality
8,0.9099999999999999,0.61,0.3825975413066075,0.9375,0.35868519497494455
10,symmetric,0.9099999999999999,0.37351526962513526,0.96,0.35857465884012985
8,0.31,0.31,0.38763691588774346,0.925,0.3585641471961627
18,0.9099999999999999,0.61,0.3955899721617708,0.9055555555555556,0.35822869701315907
6,0.31,symmetric,0.3837484756308658,0.9333333333333333,0.3581652439221414
10,0.9099999999999999,0.31,0.36536502623852585,0.98,0.3580577257137553
12,asymmetric,0.31,0.3836103468569445,0.9333333333333333,0.3580363237331482
10,0.61,symmetric,0.3652890358149089,0.98,0.35798325509861073
18,0.31,symmetric,0.39290385284887647,0.9111111111111111,0.3579790659289763
6,0.01,0.01,0.3703160439488162,0.9666666666666667,0.357972175817189
18,asymmetric,0.61,0.39277418024013677,0.9111111111111111,0.3578609197743468
18,0.61,symmetric,0.39484074754104437,0.9055555555555556,0.3575502324955013
10,0.01,0.9099999999999999,0.37227250727987987,0.96,0.35738160698868465
18,0.61,0.31,0.39954017455418245,0.8944444444444445,0.3573664894623521
9,symmetric,0.61,0.38730681020566826,0.9222222222222223,0.35718294718967186
9,0.01,0.01,0.38691969116256697,0.9222222222222223,0.35682593740547847
9,0.9099999999999999,0.61,0.38224219158895983,0.9333333333333333,0.3567593788163625
10,asymmetric,0.31,0.3639818463792224,0.98,0.35670220945163794
12,asymmetric,symmetric,0.3787583088375212,0.9416666666666667,0.35666407415533247
10,0.9099999999999999,0.9099999999999999,0.37923714699948535,0.94,0.3564829181795162
18,0.9099999999999999,symmetric,0.3954520502591427,0.9,0.35590684523322846
11,0.61,0.9099999999999999,0.3691484805857232,0.9636363636363636,0.3557248994735151
19,0.31,0.01,0.3928629790417393,0.9052631578947369,0.3556443810272587
18,0.31,0.31,0.39024556890910733,0.9111111111111111,0.35555707389496444
18,0.01,0.9099999999999999,0.38089990206882013,0.9333333333333333,0.3555065752642321
8,0.61,symmetric,0.38427235171897084,0.925,0.35545192534004805
10,0.01,symmetric,0.3625933898622111,0.98,0.3553415220649669
10,0.31,0.31,0.36251876740297534,0.98,0.35526839205491584
10,0.31,0.01,0.3552468381319532,1.0,0.3552468381319532
9,0.01,0.31,0.380592429295407,0.9333333333333333,0.3552196006757132
9,0.01,0.61,0.38055160603015353,0.9333333333333333,0.35518149896147666
18,0.61,0.61,0.39705837959705836,0.8944444444444445,0.3551466617507022
11,asymmetric,0.31,0.37552231614391723,0.9454545454545454,0.3550392807178854
9,symmetric,0.9099999999999999,0.38495754191667014,0.9222222222222223,0.3550163997675958
10,asymmetric,symmetric,0.36590015032155654,0.97,0.3549231458119098
19,0.01,0.61,0.39433373462302074,0.9,0.35490036116071866
6,0.01,0.31,0.37357928501605936,0.95,0.35490032076525635
9,0.31,0.9099999999999999,0.3848000044676624,0.9222222222222223,0.35487111523128867
10,0.61,0.01,0.3656564801864529,0.97,0.3546867857808593
9,0.31,0.61,0.3844615773774049,0.9222222222222223,0.3545590102480512
6,symmetric,0.01,0.37321232976738555,0.95,0.35455171327901625
18,asymmetric,symmetric,0.3914442242265068,0.9055555555555556,0.3544744919384478
18,0.31,0.61,0.3938567517747119,0.9,0.35447107659724075
10,0.01,0.31,0.36165278045067506,0.98,0.35441972484166157
11,asymmetric,symmetric,0.3711830721680951,0.9545454545454546,0.3543111143422726
9,asymmetric,0.31,0.3793051006651064,0.9333333333333333,0.35401809395409933
9,0.9099999999999999,0.9099999999999999,0.38385856874906144,0.9222222222222223,0.3540029022908011
19,0.61,0.61,0.39104568821764546,0.9052631578947369,0.3539992545970264
9,symmetric,0.01,0.3931698117619939,0.9,0.35385283058579453
6,0.01,symmetric,0.3724516141905681,0.95,0.35382903348103967
10,symmetric,0.31,0.3610262161090465,0.98,0.35380569178686555
18,0.9099999999999999,0.31,0.3954481424276943,0.8944444444444445,0.3537063940603266
19,asymmetric,0.01,0.3861875814029383,0.9157894736842105,0.35366652191637504
19,symmetric,0.61,0.39523358554528143,0.8947368421052632,0.3536300502247255
7,0.01,0.31,0.38636844308201573,0.9142857142857143,0.35325114796070006
7,symmetric,0.61,0.3924239431410547,0.9,0.35318154882694924
18,0.61,0.01,0.39208338160111755,0.9,0.3528750434410058
19,0.31,0.61,0.39207551998139517,0.9,0.35286796798325565
12,0.01,symmetric,0.37456152679407834,0.9416666666666667,0.3527121043977571
9,asymmetric,0.61,0.37783901492533095,0.9333333333333333,0.35264974726364223
12,0.31,0.01,0.37781792400926156,0.9333333333333333,0.35263006240864414
10,0.31,symmetric,0.3597500707817375,0.98,0.3525550693661027
8,0.61,0.61,0.3862301668611174,0.9125,0.3524350272607696
10,0.9099999999999999,symmetric,0.36699057150581915,0.96,0.3523109486455864
18,asymmetric,0.31,0.38887174097543076,0.9055555555555556,0.3521449654388623
10,0.9099999999999999,0.01,0.36662552758797157,0.96,0.3519605064844527
9,0.61,0.9099999999999999,0.3862681858410146,0.9111111111111111,0.3519332359884799
11,symmetric,symmetric,0.36519583460259625,0.9636363636363636,0.35191598607159275
7,symmetric,0.9099999999999999,0.3970562522557476,0.8857142857142857,0.3516783948550907
10,asymmetric,0.01,0.3624937817947142,0.97,0.35161896834087275
9,0.31,0.31,0.3859097427041472,0.9111111111111111,0.35160665446377853
12,0.31,symmetric,0.3766956813540507,0.9333333333333333,0.3515826359304473
10,0.01,0.01,0.3587341805295817,0.98,0.3515594969189901
8,0.61,0.31,0.380055713408078,0.925,0.35155153490247215
19,0.31,0.31,0.3921236863877955,0.8947368421052632,0.3508475088732907
18,symmetric,0.61,0.3850596910583676,0.9111111111111111,0.3508321629642905
19,0.31,symmetric,0.39421137348616286,0.8894736842105263,0.35064064273242906
19,0.9099999999999999,0.9099999999999999,0.40375978084550596,0.868421052631579,0.35063349389214993
10,0.01,0.61,0.372873125118619,0.94,0.3505007376115018
11,0.01,0.31,0.3671716283839677,0.9545454545454546,0.3504820089119692
13,0.9099999999999999,0.9099999999999999,0.3673943880289076,0.9538461538461539,0.35043772396603495
12,asymmetric,0.61,0.37881502877347867,0.925,0.3504039016154678
10,symmetric,0.01,0.35749786826101476,0.98,0.3503479108957945
12,asymmetric,0.9099999999999999,0.3787250410738676,0.925,0.3503206629933276
18,0.9099999999999999,0.01,0.39658833848407693,0.8833333333333333,0.35031969899426796
17,asymmetric,0.01,0.37920835025340177,0.9235294117647059,0.3502100646457887
19,0.61,0.31,0.39357894758154777,0.8894736842105263,0.3500781165330609
17,0.9099999999999999,0.9099999999999999,0.37419814521864636,0.9352941176470588,0.3499853240574398
8,asymmetric,0.31,0.37815499424625787,0.925,0.34979336967778857
10,symmetric,symmetric,0.36038697519936147,0.97,0.3495753659433806
6,0.31,0.01,0.37436602241072275,0.9333333333333333,0.34940828758334125
9,asymmetric,0.9099999999999999,0.3788599436738615,0.9222222222222223,0.3493930591658945
17,0.9099999999999999,0.01,0.37326598956284185,0.9352941176470588,0.34911348435583445
9,0.01,symmetric,0.3831730302936299,0.9111111111111111,0.3491132053786406
11,asymmetric,0.9099999999999999,0.38015778799913424,0.9181818181818182,0.34905396898102325
8,0.9099999999999999,0.9099999999999999,0.38244765699684413,0.9125,0.3489834870096203
19,asymmetric,symmetric,0.38774834769474603,0.9,0.34897351292527146
19,symmetric,0.31,0.3898385780273053,0.8947368421052632,0.3488029382349574
9,0.01,0.9099999999999999,0.3826793431037058,0.9111111111111111,0.34866340149448755
16,0.9099999999999999,0.9099999999999999,0.37404914489762586,0.93125,0.3483332661859141
11,symmetric,0.01,0.3649176105006196,0.9545454545454546,0.3483304463869551
